Street,City_State_ZipCode,Price,Bedrooms,Bathrooms,Size,Lot Size,TypePrice per Sqft,Year,Neighborhood,Time on Zillow,Views,Saves
"Buildable plan: Residence 2, Alicante,","Oakley, CA 94561",from ,4,3,"2,045",No Data,Single Family,$271,2020,Neighborhood: 94561,,,
"164 Amberwind Cir,","Oakley, CA 94561","$588,000",3,3,"1,977","3,336 sqft",Single Family,$297,2017,Neighborhood: 94561,1 day,283,6
"221 Amberwind Cir,","Oakley, CA 94561","$600,000",4,4,2,"3,911 sqft",Single Family,"$300,000",2016,Neighborhood: 94561,1 day,122,7
"1456-1456 Walnut Meadows Dr,","Oakley, CA 94561","$545,000",3,2,"1,804","5,998 sqft",Single Family,$302,1990,Neighborhood: 94561,1 day,207,4
"1295 Quail Valley Run,","Oakley, CA 94561","$493,800",4,3,"1,763","4,691 sqft",Single Family,$280,1990,Neighborhood: 94561,23 hours,765,38
"730 Almond Dr,","Oakley, CA 94561","$489,000",3,2,"1,189","6,324 sqft",Single Family,$411,1982,Neighborhood: 94561,21 hours,342,10
"425 Pintor Way,","Oakley, CA 94561","$578,984",4,3,"2,045",No Data,Single Family,$283,No Data,Neighborhood: 94561,,,
"429 Pintor Way,","Oakley, CA 94561","$552,912",3,3,"1,835",No Data,Single Family,$301,No Data,Neighborhood: 94561,,,
"Buildable plan: Newport Residence 1, Compass Bay,","Newark, CA 94560",from ,3,4,"1,869",No Data,Townhouse,$522,2020,Neighborhood: 94560,,,
"9423 Ocean Park Way,","Newark, CA 94560","$956,880",3,4,"1,682",No Data,Townhouse,$569,No Data,Neighborhood: 94560,,,
"36539 Bridgepointe Dr,","Newark, CA 94560","$1,100,000",4,2,"1,632","6,969 sqft",Single Family,$674,1978,Neighborhood: 94560,25 days,"2,147",33
"Buildable plan: Dover Residence 4, Compass Bay,","Newark, CA 94560",from ,4,3,"2,461",No Data,Single Family,$559,2020,Neighborhood: 94560,,,
"Buildable plan: Dover Residence 2, Compass Bay,","Newark, CA 94560",from ,4,4,"2,689",No Data,Single Family,$524,2020,Neighborhood: 94560,,,
"Buildable plan: RESIDENCE THREE, Bridgeway : Cottages,","Newark, CA 94560",from ,4,3,"2,157",No Data,Single Family,$552,2020,Neighborhood: 94560,,,
"39931 Cedar Blvd UNIT 113,","Newark, CA 94560","$525,000",2,2,"1,071",$405/mo,Condo,$490,1986,Neighborhood: 94560,15 days,"1,336",25
"Buildable plan: RESIDENCE FOUR, Bridgeway : Cottages,","Newark, CA 94560",from ,4,4,"2,478",No Data,Single Family,$521,2020,Neighborhood: 94560,,,
"Buildable plan: Dover Residence 1, Compass Bay,","Newark, CA 94560",from ,4,3,"2,512",No Data,Single Family,$555,2020,Neighborhood: 94560,,,
"Buildable plan: Residence 3, Camellia at Sanctuary Village,","Newark, CA 94560",from ,5,5,"3,792",No Data,Single Family,$465,2020,Neighborhood: 94560,,,
"35349 Ramsgate Dr,","Newark, CA 94560","$1,049,900",4,2,"1,487","6,969 sqft",Single Family,$706,1969,Neighborhood: 94560,12 days,"1,503",35
"Buildable plan: Newport Residence 2, Compass Bay,","Newark, CA 94560",from ,4,4,"1,920",No Data,Townhouse,$521,2020,Neighborhood: 94560,,,
"Buildable plan: RESIDENCE TWO, Bridgeway : Bungalows,","Newark, CA 94560",from ,4,5,"2,816",No Data,Single Family,$477,2020,Neighborhood: 94560,,,
"37511 Sand Drift Rd,","Newark, CA 94560","$1,345,880",4,4,"2,478",No Data,Single Family,$543,No Data,Neighborhood: 94560,,,
"5722 Wintergreen Dr,","Newark, CA 94560","$875,000",4,3,"1,931","7,379 sqft",Single Family,$453,1968,Neighborhood: 94560,10 days,"4,781",113
"36821 Port Tidewood St,","Newark, CA 94560","$859,900",3,2,"1,450","4,003 sqft",Single Family,$593,1975,Neighborhood: 94560,9 days,--,--
"Buildable plan: Dover Residence 3, Compass Bay,","Newark, CA 94560",from ,4,3,"2,476",No Data,Single Family,$555,2020,Neighborhood: 94560,,,
"Buildable plan: RESIDENCE ONE, Bridgeway : Bungalows,","Newark, CA 94560",from ,5,5,"2,573",No Data,Single Family,$505,2020,Neighborhood: 94560,,,
"35122 Lido Blvd UNIT K,","Newark, CA 94560","$549,000",2,2,"1,076",$383/mo,Condo,$510,1984,Neighborhood: 94560,7 days,"1,429",50
"Buildable plan: RESIDENCE THREE, Bridgeway : Towns,","Newark, CA 94560",from ,4,4,"2,018",No Data,Townhouse,$499,2020,Neighborhood: 94560,,,
"Buildable plan: Residence 2, Camellia at Sanctuary Village,","Newark, CA 94560",from ,4,5,"3,679",No Data,Single Family,$457,2020,Neighborhood: 94560,,,
"36915 Locust St,","Newark, CA 94560","$1,300,000",2,1,760,0.34 Acres,Single Family,"$1,711",1870,Neighborhood: 94560,7 days,318,2
"Buildable plan: Newport Residence 3, Compass Bay,","Newark, CA 94560",from ,4,4,"2,018",No Data,Townhouse,$503,2020,Neighborhood: 94560,,,
"Buildable plan: RESIDENCE THREE, Bridgeway : Bungalows,","Newark, CA 94560",from ,5,5,"2,886",No Data,Single Family,$464,2020,Neighborhood: 94560,,,
"Buildable plan: RESIDENCE TWO, Bridgeway : Cottages,","Newark, CA 94560",from ,3,4,"1,951",No Data,Single Family,$595,2020,Neighborhood: 94560,,,
"Buildable plan: RESIDENCE THREE, Bridgeway : Villas,","Newark, CA 94560",from ,4,4,"2,370",No Data,Single Family,$526,2020,Neighborhood: 94560,,,
"Buildable plan: RESIDENCE ONE, Bridgeway : Towns,","Newark, CA 94560",from ,2,3,"1,424",No Data,Townhouse,$581,2020,Neighborhood: 94560,,,
"9146 Surf Way,","Newark, CA 94560","$1,345,882",5,5,"2,886",No Data,Single Family,$466,No Data,Neighborhood: 94560,,,
"Buildable plan: RESIDENCE ONE, Bridgeway : Cottages,","Newark, CA 94560",from ,3,3,"1,737",No Data,Single Family,$633,2020,Neighborhood: 94560,,,
"36461 Shelley Ct,","Newark, CA 94560","$1,198,950",4,3,"2,082","5,998 sqft",Single Family,$576,1971,Neighborhood: 94560,4 days,"1,049",31
"Buildable plan: RESIDENCE ONE, Bridgeway : Villas,","Newark, CA 94560",from ,4,4,"2,289",No Data,Single Family,$551,2020,Neighborhood: 94560,,,
"36847 Newark Blvd APT B,","Newark, CA 94560","$618,000",2,3,"1,166",1.53 Acres,Townhouse,$530,1987,Neighborhood: 94560,3 days,--,--
"Buildable plan: RESIDENCE TWO, Bridgeway : Villas,","Newark, CA 94560",from ,4,4,"2,422",No Data,Single Family,$521,2020,Neighborhood: 94560,,,
"Buildable plan: RESIDENCE TWO, Bridgeway : Towns,","Newark, CA 94560",from ,3,4,"1,682",No Data,Townhouse,$557,2020,Neighborhood: 94560,,,
"36132 Fig Tree Ln,","Newark, CA 94560","$1,399,000",4,3,"2,206","3,131 sqft",Single Family,$634,2018,Neighborhood: 94560,2 days,665,23
"8527 Jetty Way,","Newark, CA 94560","$1,079,000",3,4,"1,634","1,851 sqft",Single Family,$660,2017,Neighborhood: 94560,2 days,507,14
"Address Not Disclosed,","Newark, CA 94560","$1,111,000",4,3,"2,412","7,318 sqft",Single Family,$461,1963,Neighborhood: 94560,2 days,437,6
"Buildable plan: RESIDENCE FOUR, Bridgeway : Towns,","Newark, CA 94560",from ,4,4,"2,109",No Data,Townhouse,$484,2020,Neighborhood: 94560,,,
"6261 Marguerite Dr,","Newark, CA 94560","$979,000",4,2,"1,522","8,128 sqft",Single Family,$643,1963,Neighborhood: 94560,1 day,461,10
"8930 Wave Cove Way,","Newark, CA 94560","$1,249,488",4,4,"2,370",No Data,Single Family,$527,2020,Neighborhood: 94560,,,
"1233 Bollinger Cyn,","Moraga, CA 94556","$325,000",10.28 Acres,,10.28 Acres,0 spaces,Vacant Land,$1,No Data,Neighborhood: 94556,317 days,"1,534",71
"1255 Bollinger Cyn,","Moraga, CA 94556","$325,000",17.78 Acres,,17.78 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94556,317 days,"2,470",116
"78 Greenfield Dr,","Moraga, CA 94556","$1,450,000",4,2,"2,244",0.58 Acres,Single Family,$646,1974,Neighborhood: 94556,175 days,"3,504",108
"0 Bollinger Canyon Rd,","Moraga, CA 94556","$1,299,000",32.9 Acres,,32.9 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94556,143 days,729,15
"1926 Saint Andrews Dr,","Moraga, CA 94556","$995,000",3,2,"1,889","8,189 sqft",Townhouse,$527,1978,Neighborhood: 94556,113 days,"2,079",24
"0 Moraga Rd,","Moraga, CA 94556","$875,000",4.9 Acres,,4.9 Acres,No Data,Vacant Land,Covered,No Data,Neighborhood: 94556,71 days,806,12
"2 Julianna Ct,","Moraga, CA 94556","$2,375,000",4,4,"4,324",1.16 Acres,Single Family,$549,1988,Neighborhood: 94556,59 days,"2,085",49
"244 Claudia Ct,","Moraga, CA 94556","$2,985,000",5,3,"3,349",13.59 Acres,Single Family,$891,1977,Neighborhood: 94556,37 days,"2,448",41
"31 Merrill Cir S,","Moraga, CA 94556","$1,900,000",4,4,"4,331",0.93 Acres,Single Family,$439,1992,Neighborhood: 94556,25 days,"2,722",61
"34215 Whitehead Ln,","Fremont, CA 94555",: ,4,2,"1,504","Garage, Garage - Attached",Single Family,"6,534 sqft",1969,Neighborhood: Northgate,275 days,"1,833",20
"34329 Xanadu Ter,","Fremont, CA 94555","$1,372,560",3,2.5,"1,812",$33/mo,Single Family,"3,876 sqft",1989,Neighborhood: Ardenwood,256 days,"1,218",3
"34903 Machado Cmn,","Fremont, CA 94555","$978,000",2,3,"1,441",923 sqft,Townhouse,$679,2020,Neighborhood: Northgate,87 days,993,27
"568 Falls Ter,","Fremont, CA 94555","$1,028,880",3,4,"2,033",$500/mo,Condo,$506,2020,Neighborhood: Ardenwood,66 days,"3,892",60
"34939 Machado Cmn,","Fremont, CA 94555","$1,068,000",3,4,"1,657","1,102 sqft",Townhouse,$645,2020,Neighborhood: Northgate,64 days,"1,222",47
"34918 Machado Cmn,","Fremont, CA 94555","$1,160,000",3,4,"2,023","1,533 sqft",Townhouse,$573,2020,Neighborhood: Northgate,61 days,"1,014",19
"4111 Greenland Ter,","Fremont, CA 94555","$688,000",3,2,"1,166",901 sqft,Townhouse,$590,1970,Neighborhood: Northgate,19 days,"2,525",45
"5181 Fairbanks Cmn,","Fremont, CA 94555","$730,000",2,2,950,$285/mo,Condo,$768,1989,Neighborhood: Ardenwood,17 days,"1,389",25
"34236 Fremont Blvd,","Fremont, CA 94555","$1,101,300",4,4,"1,881",$365/mo,Condo,$585,2020,Neighborhood: Northgate,16 days,631,20
"5190 Tacoma Cmn,","Fremont, CA 94555","$724,500",2,2,950,$295/mo,Condo,$763,1988,Neighborhood: Ardenwood,15 days,"1,817",57
"Buildable plan: Residence 4, Centerville Station North,","Fremont, CA 94555",from ,4,4,"1,881",No Data,Townhouse,$579,2020,Neighborhood: Northgate,,,
"33069 Lake Wawasee St,","Fremont, CA 94555","$899,880",3,2,"1,148","3,951 sqft",Single Family,$784,1971,Neighborhood: Lakes and Birds,5 days,"1,678",43
"Buildable plan: Duet Alt, Centerville Station North,","Fremont, CA 94555",from ,4,3,"2,147","Garage - Attached, Covered",Multiple Occupancy,$605,2020,Neighborhood: Northgate,,,
"Buildable plan: Residence 3, Centerville Station North,","Fremont, CA 94555",from ,3,4,"1,729",No Data,Townhouse,$625,2020,Neighborhood: Northgate,,,
"Buildable plan: Duet, Centerville Station North,","Fremont, CA 94555",from ,4,3,"2,147","Garage - Detached, Covered",Multiple Occupancy,$573,2020,Neighborhood: Northgate,,,
"34654 Tabu Ter,","Fremont, CA 94555","$748,888",3,2,"1,064",$335/mo,Condo,$704,1987,Neighborhood: Ardenwood,1 day,537,14
"127 De Normandie Way,","Martinez, CA 94553","$544,899",3,2,"1,046","Garage, Garage - Attached, Covered",Single Family,"7,040 sqft",1955,Neighborhood: 94553,284 days,610,6
"1717 Teakwood Dr,","Martinez, CA 94553","$697,372",3,2,"1,715","Garage, Garage - Attached",Single Family,"6,403 sqft",1968,Neighborhood: 94553,235 days,"2,688",22
"152 Farm Ln,","Martinez, CA 94553","$412,317",2,2,939,"Garage, Garage - Attached",Condo,$400/mo,1984,Neighborhood: 94553,198 days,419,6
"2316 Holly View Dr,","Martinez, CA 94553","$723,992",3,2,"1,607","Garage, Garage - Attached, Covered",Single Family,"8,260 sqft",1984,Neighborhood: 94553,180 days,567,1
"324 Vista Grande Grande,","Martinez, CA 94553","$134,000",2,2,"1,248",Covered,Mobile / Manufactured,$107,No Data,Neighborhood: 94553,175 days,863,13
"119 De Normandie Way,","Martinez, CA 94553","$619,000",3,3,"1,612","Garage, Carport, Covered",Multiple Occupancy,$384,1955,Neighborhood: 94553,152 days,"1,685",55
"4628 Pacheco Blvd,","Martinez, CA 94553","$759,418",4,2,"1,774",No Data,Multiple Occupancy,"Garage, Garage - Attached",1964,Neighborhood: 94553,151 days,408,0
"0 Harbor View Dr,","Martinez, CA 94553","$379,000",3.82 Acres,,3.82 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94553,137 days,"1,082",8
"1111 Palm Ave,","Martinez, CA 94553",: ,2,1,785,"Garage, Garage - Attached",Single Family,"3,049 sqft",1939,Neighborhood: 94553,106 days,789,8
"614 Green St,","Martinez, CA 94553","$750,000",4,3,"2,250","4,421 sqft",Single Family,$333,1991,Neighborhood: 94553,--,"2,247",32
"35 Adelaide Dr,","Martinez, CA 94553","$649,888",4,2,"2,284","6,499 sqft",Single Family,$285,1946,Neighborhood: 94553,95 days,"3,696",125
"847 Sage Dr,","Martinez, CA 94553","$2,688,000",4,4,"4,992",1.84 Acres,Single Family,$538,2007,Neighborhood: 94553,72 days,"2,465",50
"330 La Vina St,","Pacheco, CA 94553","$165,000",2,2,"1,400",0 spaces,Mobile / Manufactured,$118,No Data,Neighborhood: 94553,71 days,"1,197",29
"Wanda Way,","Martinez, CA 94553","$150,000",0.53 Acres,,0.53 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94553,59 days,"1,538",33
"273 Safari Way,","Pacheco, CA 94553","$289,900",3,2,"1,554","Carport, Covered",Mobile / Manufactured,$187,No Data,Neighborhood: 94553,54 days,"3,449",86
"1640 Ashwood Dr,","Martinez, CA 94553","$535,000",3,3,"1,533","1,176 sqft",Townhouse,$349,1976,Neighborhood: 94553,51 days,"1,883",39
"723 Kelly Ave,","Martinez, CA 94553","$729,000",4,3,"2,650","7,618 sqft",Single Family,$275,1976,Neighborhood: 94553,49 days,"2,591",75
"2 Ashford Pl,","Martinez, CA 94553","$475,000",--,--,"1,103",688 sqft,Townhouse,$431,2002,Neighborhood: 94553,44 days,"1,018",27
"342 Mill Rd,","Martinez, CA 94553","$409,995",2,2,939,$422/mo,Condo,$437,1983,Neighborhood: 94553,42 days,"1,983",41
"61 Gilrix Dr,","Martinez, CA 94553","$779,000",3,3,"2,149","10,010 sqft",Single Family,$362,1956,Neighborhood: 94553,31 days,"2,657",62
"611 Michele Dr,","Martinez, CA 94553","$450,000",3,2,959,"6,651 sqft",Single Family,$469,1953,Neighborhood: 94553,30 days,"3,685",127
"1030 Oak St,","Martinez, CA 94553","$599,000",3,2,"1,100","8,999 sqft",Single Family,$545,1951,Neighborhood: 94553,20 days,"4,645",212
"1417 Lang St,","Martinez, CA 94553","$739,000",3,3,"1,400","4,116 sqft",Single Family,$528,1982,Neighborhood: 94553,17 days,"1,992",43
"820 Palm Ave,","Martinez, CA 94553","$575,000",3,1,940,"3,998 sqft",Single Family,$612,1955,Neighborhood: 94553,15 days,"1,881",23
"403 Trailhead Way,","Martinez, CA 94553","$749,000",3,3,"1,731","4,499 sqft",Single Family,$433,1994,Neighborhood: 94553,15 days,"1,934",50
"249 Sinai Dr,","Pacheco, CA 94553","$149,000",2,2,"1,400",No Data,Single Family,$106,1970,Neighborhood: 94553,11 days,"1,683",20
"27 Wanda Way,","Martinez, CA 94553","$810,000",3,2,"1,594",0.50 Acres,Single Family,$508,1956,Neighborhood: 94553,10 days,"2,211",24
"359 Pantano Cir,","Pacheco, CA 94553","$524,000",3,3,"1,370",905 sqft,Townhouse,$382,1981,Neighborhood: 94553,9 days,"1,154",50
"268 Brady St,","Martinez, CA 94553","$865,000",5,3,"2,531","4,499 sqft",Single Family,$342,1997,Neighborhood: 94553,8 days,"1,700",56
"431 Gilger Ave,","Martinez, CA 94553","$399,999",2,1,797,"3,484 sqft",Single Family,$502,1926,Neighborhood: 94553,7 days,"3,487",67
"794 Parkway Dr,","Martinez, CA 94553","$650,000",3,3,"1,490","4,199 sqft",Single Family,$436,1994,Neighborhood: 94553,4 days,"1,762",106
"5195 Alhambra Valley Rd,","Martinez, CA 94553","$1,450,000",3,5,"3,224",0.64 Acres,Single Family,$450,1981,Neighborhood: 94553,4 days,"1,459",58
"3750 Brookside Dr,","Martinez, CA 94553","$638,000",3,2,"1,400",0.33 Acres,Single Family,$456,1956,Neighborhood: 94553,4 days,"2,863",184
"16 Mcnamara Ln,","Martinez, CA 94553","$1,100,000",5,3,"3,223",0.53 Acres,Single Family,$341,1991,Neighborhood: 94553,4 days,"1,917",83
"1241 Santa Fe Ave,","Martinez, CA 94553","$540,000",2,2,814,"3,998 sqft",Single Family,$663,2015,Neighborhood: 94553,3 days,658,9
"324 Lake Brook Ct,","Martinez, CA 94553","$675,000",3,3,"1,332","2,617 sqft",Single Family,$507,1983,Neighborhood: 94553,3 days,992,19
"2206 Forsythia Way,","Martinez, CA 94553","$778,000",4,3,"1,917","5,227 sqft",Single Family,$406,1989,Neighborhood: 94553,1 day,735,36
"1445 Beech St,","Martinez, CA 94553","$525,000",2,1,963,"5,000 sqft",Single Family,$545,1922,Neighborhood: 94553,1 day,"1,133",68
"1410 Brown St #1414,","Martinez, CA 94553","$975,000",2,1,"2,266",0 spaces,Multiple Occupancy,$430,1962,Neighborhood: 94553,1 day,77,2
"427 Eastgate Ln,","Martinez, CA 94553","$449,000",2,2,"1,088",649 sqft,Townhouse,$413,1984,Neighborhood: 94553,21 hours,248,8
"4937 Crow Canyon Rd,","Castro Valley, CA 94552","$499,000",1.71 Acres,,1.71 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94552,367 days,"1,115",16
"4920 Jensen Rd,","Castro Valley, CA 94552","$7,000,000",18,14,"7,082","Garage, Off-street, Covered",Multiple Occupancy,$988,1957,Neighborhood: 94552,283 days,"1,404",9
"10397 Cull Canyon Rd,","Castro Valley, CA 94552","$2,750,000",--,--,728,21.63 Acres,Single Family,"$3,777",1994,Neighborhood: 94552,260 days,460,8
"8950 Crow Canyon Rd,","Castro Valley, CA 94552","$3,500,000",44.35 Acres,,44.35 Acres,0 spaces,Vacant Land,$2,1945,Neighborhood: 94552,230 days,521,11
"8000 Crow Canyon Rd,","Castro Valley, CA 94552","$3,999,999",3,3,"3,488",40.07 Acres,Single Family,"$1,147",1965,Neighborhood: 94552,216 days,"2,102",17
"00 Jeanie Ranch Rd,","Castro Valley, CA 94552","$899,000",29.929 Acres,,29.929 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94552,192 days,998,29
"35687 Palomares Rd,","Castro Valley, CA 94552","$924,800",2,2,"1,144",0.79 Acres,Single Family,$808,1960,Neighborhood: 94552,147 days,"2,126",53
"20874 Sherman Dr,","Castro Valley, CA 94552","$1,212,364",4,3,"2,278","Garage, Garage - Attached",Single Family,"8,407 sqft",2000,Neighborhood: 94552,139 days,"2,535",27
"8020 Norris Canyon Rd,","Castro Valley, CA 94552","$1,349,000",2,1,816,8.04 Acres,Single Family,"$1,653",1960,Neighborhood: 94552,58 days,"1,632",37
"17252 Columbia Dr,","Castro Valley, CA 94552","$899,000",3,2,"2,006",0.29 Acres,Single Family,$448,1986,Neighborhood: 94552,9 days,"7,117",287
"5852 Cold Water Dr,","Castro Valley, CA 94552","$1,288,000",4,3,"2,228",0.27 Acres,Single Family,$578,1972,Neighborhood: 94552,4 days,"1,607",74
"25760 Silver Canyon Ct,","Castro Valley, CA 94552","$1,188,888",4,3,"2,092","5,959 sqft",Single Family,$568,1998,Neighborhood: 94552,3 days,"1,291",47
"5815 Cold Water Dr,","Castro Valley, CA 94552","$1,150,000",4,3,"2,356",0.31 Acres,Single Family,$488,1972,Neighborhood: 94552,1 day,837,46
"2907 Ladd Ave,","Livermore, CA 94551","$1,750,000",9,--,"3,849","Garage, Garage - Attached, Off-street, On-street, Covered",Multiple Occupancy,$455,1964,Neighborhood: 94551,92 days,"1,003",17
"828 Olivina Ave #17,","Livermore, CA 94551","$69,500",1,1,560,0 spaces,Mobile / Manufactured,$124,1987,Neighborhood: 94551,46 days,"1,790",19
"4004 Dyer Rd,","Livermore, CA 94551","$1,595,000",3,2,"2,322",5.02 Acres,Single Family,$687,2014,Neighborhood: 94551,43 days,"3,288",49
"1151 Central Ave,","Livermore, CA 94551","$3,488,888",3,3,"3,424",2.08 Acres,Single Family,"$1,019",1979,Neighborhood: 94551,32 days,"2,913",29
"Floor plan: Plan 8, Harmony at Sage,","Livermore, CA 94551",from ,3,3,"2,256",Covered,Condo,$377,2020,Neighborhood: 94551,,,
"971 Waverly Cmn,","Livermore, CA 94551","$799,500",3,3,"1,944","3,558 sqft",Townhouse,$411,1988,Neighborhood: 94551,15 days,"3,075",89
"840 Sungold Cir,","Livermore, CA 94551","$199,000",3,2,"1,344","Carport, Off-street, On-street, Covered",Mobile / Manufactured,$148,1974,Neighborhood: 94551,14 days,"1,492",49
"4115 Pinon Way,","Livermore, CA 94551","$725,000",3,2,"1,110","5,436 sqft",Single Family,$653,1986,Neighborhood: 94551,13 days,"4,035",128
"Floor plan: Plan 7, Harmony at Sage,","Livermore, CA 94551",from ,3,3,"2,169",Covered,Condo,$404,2020,Neighborhood: 94551,,,
"260 Plum Tree St #20,","Livermore, CA 94551","$849,496",4,4,"2,025",No Data,Townhouse,$420,No Data,Neighborhood: 94551,,,
"4475 Greens Ct,","Livermore, CA 94551","$625,000",2,1,830,"5,079 sqft",Single Family,$753,1984,Neighborhood: 94551,10 days,"1,962",26
"4760 Collier Canyon Rd,","Livermore, CA 94551","$1,900,000",95.707 Acres,,95.707 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94551,9 days,559,12
"Buildable plan: RESIDENCE ONE, Auburn Grove,","Livermore, CA 94551",from ,3,4,"1,744",No Data,Townhouse,$435,2020,Neighborhood: 94551,,,
"Floor plan: Plan 3, Harmony at Sage,","Livermore, CA 94551",from ,2,2,"1,626",Covered,Condo,$547,2020,Neighborhood: 94551,,,
"Buildable plan: RESIDENCE THREE X, Auburn Grove,","Livermore, CA 94551",from ,4,4,"2,025",No Data,Townhouse,$408,2020,Neighborhood: 94551,,,
"4757 Bel Roma Rd,","Livermore, CA 94551","$2,188,000",4,3,"3,084",5.39 Acres,Single Family,$709,1975,Neighborhood: 94551,8 days,"1,440",30
"Floor plan: Plan 4, Harmony at Sage,","Livermore, CA 94551",from ,2,2,"1,817",Covered,Condo,$468,2020,Neighborhood: 94551,,,
"Buildable plan: RESIDENCE THREE Y, Auburn Grove,","Livermore, CA 94551",from ,4,4,"1,929",No Data,Townhouse,$425,2020,Neighborhood: 94551,,,
